epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,39.6444,0.46847,0.53532,0.80196,0.70313,1,0.995,0.995,0.30548,1.88063,0.68837,0.000493898,0.000493898,0.000493898
45,40.826,0.55259,0.63904,0.81927,0.71682,1,0.995,0.49949,1.10545,1.63008,1.03159,0.000496672,0.000496672,0.000496672
46,41.7322,0.53781,0.61086,0.89521,0.71682,1,0.995,0.49949,1.10545,1.63008,1.03159,0.00049905,0.00049905,0.00049905
47,42.5925,0.44236,0.66673,0.91647,0.32596,1,0.33167,0.15478,1.36911,2.81871,1.26418,0.000501032,0.000501032,0.000501032
48,43.4562,0.35784,0.49581,0.83862,0.32596,1,0.33167,0.15478,1.36911,2.81871,1.26418,0.000502618,0.000502618,0.000502618
49,44.3051,0.41916,0.49269,0.81663,0.46742,1,0.4975,0.44775,0.50498,1.74246,0.81269,0.000503808,0.000503808,0.000503808
50,45.1942,0.44121,0.61511,0.91728,0.46742,1,0.4975,0.44775,0.50498,1.74246,0.81269,0.000504602,0.000504602,0.000504602
51,46.0199,0.51195,0.89705,0.93553,0.48771,1,0.995,0.597,0.63118,2.80923,0.80669,0.000505,0.000505,0.000505
52,46.8582,0.54057,0.92033,0.88884,0.48771,1,0.995,0.597,0.63118,2.80923,0.80669,0.000505002,0.000505002,0.000505002
53,47.655,0.55718,0.77394,0.95707,0.48771,1,0.995,0.597,0.63118,2.80923,0.80669,0.000504608,0.000504608,0.000504608
54,48.6178,0.33685,0.397,0.7201,0.3144,1,0.33167,0.33167,0.44147,1.8263,0.71177,0.000503818,0.000503818,0.000503818
55,49.5082,0.30314,0.38962,0.82287,0.3144,1,0.33167,0.33167,0.44147,1.8263,0.71177,0.000502632,0.000502632,0.000502632
56,50.3593,0.44544,0.62801,0.90709,0.3144,1,0.33167,0.33167,0.44147,1.8263,0.71177,0.00050105,0.00050105,0.00050105
57,51.3469,0.503,0.65016,0.91529,0.91932,1,0.995,0.995,0.42516,0.8354,0.76671,0.000499072,0.000499072,0.000499072
58,52.3445,0.48114,0.75386,0.9429,0.91932,1,0.995,0.995,0.42516,0.8354,0.76671,0.000496698,0.000496698,0.000496698
59,53.3114,0.44461,0.47368,0.76272,0.91932,1,0.995,0.995,0.42516,0.8354,0.76671,0.000493928,0.000493928,0.000493928
60,54.2744,0.51457,0.59324,0.87013,0.49513,1,0.995,0.8955,0.58915,1.29694,0.83278,0.000490762,0.000490762,0.000490762
61,55.1372,0.42726,0.45054,0.9005,0.49513,1,0.995,0.8955,0.58915,1.29694,0.83278,0.0004872,0.0004872,0.0004872
62,55.9706,0.51495,0.90975,0.92067,0.49513,1,0.995,0.8955,0.58915,1.29694,0.83278,0.000483242,0.000483242,0.000483242
63,56.8159,0.46918,0.6593,0.78844,0.48878,1,0.4975,0.398,0.83513,2.35427,0.96246,0.000478888,0.000478888,0.000478888
